iter	Logloss
0	0.3908270528
1	0.2515350735
2	0.1831459148
3	0.1456239892
4	0.1231854194
5	0.1087077605
6	0.1000826375
7	0.09401610575
8	0.08984211637
9	0.08685199854
10	0.08475353616
11	0.08341073215
12	0.0823604488
13	0.08161671499
14	0.08097122949
15	0.08061440672
16	0.0803141148
17	0.08008254594
18	0.07992167527
19	0.07977884833
20	0.0796854732
21	0.07960983721
22	0.07954232322
23	0.07945632248
24	0.07940173905
25	0.07932995178
26	0.07929698391
27	0.07923429696
28	0.07922074801
29	0.07920309192
30	0.07918531585
31	0.07915536603
32	0.07913112929
33	0.07911643588
34	0.07910560042
35	0.07906461209
36	0.07906233239
37	0.07903225336
38	0.07902406677
39	0.07899858404
40	0.07898013422
41	0.07896289346
42	0.07893769685
43	0.07892354798
44	0.07890478435
45	0.07890088949
46	0.07889597938
47	0.07889555482
48	0.07889333974
49	0.07889354279
50	0.0788888911
51	0.07888531005
52	0.07888538388
53	0.07887593285
54	0.07887537908
55	0.0788551941
56	0.07885284057
57	0.07884569691
58	0.07884523544
59	0.07883670735
60	0.07883380005
61	0.07882475511
62	0.07882400752
63	0.07882127558
64	0.07882112791
65	0.07880981251
66	0.07880165361
67	0.07879927239
68	0.07879947544
69	0.07879948467
70	0.07879651276
71	0.07879606974
72	0.07877963195
73	0.07877883821
74	0.07877547867
75	0.0787749895
76	0.07876128365
77	0.07875816407
78	0.0787564843
79	0.07874810389
80	0.07874498431
81	0.0787448274
82	0.07873219218
83	0.07872489162
84	0.07872515928
85	0.07871493296
86	0.07870646026
87	0.07870266692
88	0.07870257462
89	0.07870167936
90	0.07870155015
91	0.07870194702
92	0.07870179011
93	0.0786911577
94	0.07868824117
95	0.07868827809
96	0.07868861958
97	0.07868281421
98	0.07868200201
99	0.07868245425
100	0.07868255578
101	0.07867308628
102	0.07867278171
103	0.07867124961
104	0.0786695606
105	0.07866839768
106	0.07866769624
107	0.07866765932
108	0.07866650563
109	0.07866151246
110	0.07866084793
111	0.07865917738
112	0.078654055
113	0.078649994
114	0.07864954176
115	0.07863753414
116	0.07863619586
117	0.07863086119
118	0.07863075967
119	0.07862895991
120	0.07862618182
121	0.07862628335
122	0.07862225004
123	0.07861874282
124	0.07861923199
125	0.07861946273
