iter	Passed	Remaining
399	32858	49288
400	32937	49200
401	33017	49115
402	33103	49039
403	33188	48961
404	33279	48891
405	33364	48813
406	33445	48729
407	33521	48638
408	33598	48549
409	33690	48481
410	33774	48402
411	33863	48329
412	33948	48251
413	34026	48162
414	34124	48103
415	34213	48030
416	34297	47950
417	34386	47878
418	34473	47802
419	34547	47708
420	34613	47603
421	34688	47511
422	34765	47422
423	34835	47323
424	34907	47227
425	34982	47135
426	35060	47047
427	35130	46949
428	35199	46850
429	35279	46766
430	35354	46674
431	35430	46584
432	35497	46482
433	35575	46396
434	35650	46304
435	35720	46206
436	35791	46111
437	35866	46020
438	35940	45928
439	36020	45844
440	36096	45755
441	36170	45663
442	36244	45571
443	36316	45477
444	36391	45387
445	36473	45306
446	36545	45212
447	36613	45113
448	36686	45020
449	36759	44928
450	36832	44836
451	36902	44740
452	36974	44646
453	37047	44555
454	37117	44459
455	37190	44367
456	37271	44284
457	37342	44191
458	37409	44092
459	37486	44005
460	37566	43922
461	37647	43840
462	37720	43748
463	37786	43649
464	37861	43561
465	37934	43470
466	38000	43370
467	38077	43284
468	38151	43194
469	38223	43103
470	38293	43009
471	38367	42919
472	38441	42829
473	38506	42730
474	38579	42640
475	38658	42557
476	38729	42464
477	38795	42366
478	38867	42275
479	38939	42184
480	39011	42093
481	39081	42000
482	39146	41902
483	39217	41810
484	39289	41720
485	39366	41634
486	39432	41537
487	39498	41441
488	39565	41345
489	39648	41266
490	39715	41171
491	39781	41075
492	39849	40980
493	39922	40892
494	39998	40806
495	40070	40716
496	40141	40626
497	40208	40531
498	40279	40440
499	40351	40351
500	40418	40256
501	40484	40161
502	40550	40066
503	40621	39976
504	40695	39889
505	40759	39793
506	40828	39701
507	40942	39652
508	41015	39565
509	41086	39474
510	41154	39382
511	41227	39294
512	41300	39207
513	41368	39114
514	41440	39026
515	41508	38934
516	41575	38841
517	41673	38777
518	41768	38709
519	41838	38620
520	41909	38530
521	41974	38436
522	42042	38344
523	42110	38253
524	42175	38158
525	42245	38069
526	42310	37974
527	42377	37882
528	42443	37789
529	42508	37696
530	42575	37604
531	42643	37513
532	42716	37426
533	42796	37346
534	42864	37256
535	42930	37164
536	43000	37075
537	43068	36984
538	43135	36893
539	43201	36801
540	43271	36712
541	43341	36624
542	43406	36531
543	43471	36439
544	43536	36346
545	43607	36259
546	43679	36173
547	43745	36081
548	43816	35994
549	43889	35909
550	43954	35817
551	44021	35727
552	44087	35636
553	44154	35546
554	44225	35460
555	44293	35371
556	44366	35286
557	44433	35196
558	44498	35105
559	44564	35014
560	44635	34928
561	44729	34860
562	44823	34791
563	44918	34723
564	44993	34640
565	45060	34551
566	45145	34476
567	45219	34392
568	45300	34314
569	45367	34224
570	45433	34134
571	45502	34047
572	45570	33959
573	45639	33871
574	45706	33783
575	45776	33696
576	45849	33612
577	45917	33524
578	46011	33455
579	46077	33366
580	46144	33277
581	46216	33193
582	46361	33160
583	46472	33103
584	46537	33013
585	46616	32933
586	46702	32858
587	46777	32775
588	46896	32724
589	46962	32634
590	47039	32553
591	47108	32466
592	47179	32381
593	47256	32300
594	47323	32211
595	47388	32122
596	47455	32034
597	47520	31945
598	47588	31857
599	47664	31776
600	47729	31687
601	47799	31601
602	47867	31514
603	47932	31425
604	48006	31343
605	48080	31260
606	48147	31172
607	48242	31103
608	48312	31018
609	48376	30929
610	48442	30841
611	48506	30752
612	48579	30669
613	48650	30584
614	48716	30497
615	48782	30410
616	48851	30324
617	48915	30236
618	48982	30149
619	49053	30064
620	49127	29982
621	49201	29900
622	49267	29813
623	49336	29728
624	49408	29644
625	49479	29560
626	49554	29479
627	49623	29395
628	49689	29308
629	49757	29222
630	49826	29138
631	49898	29054
632	49963	28967
633	50032	28882
634	50098	28797
635	50174	28715
636	50244	28632
637	50312	28547
638	50378	28461
639	50443	28374
640	50520	28294
641	50592	28211
642	50686	28141
643	50780	28071
644	50869	27997
645	50933	27911
646	51005	27828
647	51074	27744
648	51139	27657
649	51211	27575
650	51287	27494
651	51359	27412
652	51424	27326
653	51489	27240
654	51562	27159
655	51633	27076
656	51700	26991
657	51766	26906
658	51855	26832
659	51919	26746
660	51985	26661
661	52051	26576
662	52125	26495
663	52196	26412
664	52267	26330
665	52346	26251
666	52411	26166
667	52478	26082
668	52556	26003
669	52627	25921
670	52693	25836
671	52759	25751
672	52888	25697
673	52957	25614
674	53022	25529
675	53087	25444
676	53158	25362
677	53265	25297
678	53345	25219
679	53434	25145
680	53499	25060
681	53588	24987
682	53654	24902
683	53719	24817
684	53794	24737
685	53862	24654
686	53926	24569
687	53996	24486
688	54060	24401
689	54126	24317
690	54194	24234
691	54265	24152
692	54331	24068
693	54400	23986
694	54502	23918
695	54573	23836
696	54641	23753
697	54706	23669
698	54775	23587
699	54856	23510
700	54924	23427
701	54994	23345
702	55059	23261
703	55127	23178
704	55199	23097
705	55266	23014
706	55361	22943
707	55426	22859
708	55499	22778
709	55572	22698
710	55637	22615
711	55708	22533
712	55783	22454
713	55851	22372
714	55917	22288
715	55984	22206
716	56049	22122
717	56114	22039
718	56186	21958
719	56263	21880
720	56336	21800
721	56402	21717
722	56466	21633
723	56547	21556
724	56616	21475
725	56681	21392
726	56748	21309
727	56816	21228
728	56881	21145
729	56947	21062
730	57028	20985
731	57098	20904
732	57175	20826
733	57244	20745
734	57315	20664
735	57388	20584
736	57457	20503
737	57528	20423
738	57604	20344
739	57718	20279
740	57786	20197
741	57850	20115
742	57915	20032
743	58032	19968
744	58101	19887
745	58173	19807
746	58247	19727
747	58316	19646
748	58381	19564
749	58447	19482
750	58517	19401
751	58588	19321
752	58660	19241
753	58726	19160
754	58794	19079
755	58859	18996
756	58924	18914
757	58990	18833
758	59059	18752
759	59125	18671
760	59193	18590
761	59264	18510
762	59328	18428
763	59393	18346
764	59461	18266
765	59528	18185
766	59598	18104
767	59668	18024
768	59743	17946
769	59816	17867
770	59887	17787
771	59963	17709
772	60042	17632
773	60111	17551
774	60182	17472
775	60247	17391
776	60316	17311
777	60381	17229
778	60455	17150
779	60525	17071
780	60590	16990
781	60655	16909
782	60720	16828
783	60799	16750
784	60863	16669
785	60935	16590
786	61001	16509
787	61065	16428
788	61134	16349
789	61206	16270
790	61278	16191
791	61352	16112
792	61424	16033
793	61494	15954
794	61565	15875
795	61638	15796
796	61711	15718
797	61780	15638
798	61872	15564
799	61948	15487
800	62023	15409
801	62088	15328
802	62166	15251
803	62243	15173
804	62319	15095
805	62386	15016
806	62457	14937
807	62532	14859
808	62605	14780
809	62671	14700
810	62745	14622
811	62820	14544
812	62897	14467
813	62965	14387
814	63043	14310
815	63120	14233
816	63196	14155
817	63267	14076
818	63337	13997
819	63414	13920
820	63482	13840
821	63556	13762
822	63632	13685
823	63708	13607
824	63776	13528
825	63845	13449
826	63921	13371
827	63997	13294
828	64073	13216
829	64150	13139
830	64230	13062
831	64307	12985
832	64376	12906
833	64448	12827
834	64528	12751
835	64603	12673
836	64669	12593
837	64740	12515
838	64811	12437
839	64877	12357
840	64949	12279
841	65024	12201
842	65094	12123
843	65163	12044
844	65241	11967
845	65311	11888
846	65376	11809
847	65443	11730
848	65519	11653
849	65595	11575
850	65660	11496
851	65732	11418
852	65814	11341
853	65894	11265
854	65965	11187
855	66040	11109
856	66124	11033
857	66197	10955
858	66263	10876
859	66340	10799
860	66414	10722
861	66499	10646
862	66568	10567
863	66640	10489
864	66718	10412
865	66792	10335
866	66857	10256
867	66928	10178
868	67003	10100
869	67088	10024
870	67158	9946
871	67230	9868
872	67303	9791
873	67369	9712
874	67437	9633
875	67516	9557
876	67589	9479
877	67654	9400
878	67735	9324
879	67826	9249
880	67901	9171
881	67970	9093
882	68039	9015
883	68133	8940
884	68228	8865
885	68313	8789
886	68392	8712
887	68458	8634
888	68535	8557
889	68608	8479
890	68681	8402
891	68755	8324
892	68826	8246
893	68901	8169
894	68973	8091
895	69038	8013
896	69116	7936
897	69202	7860
898	69277	7783
899	69344	7704
900	69416	7627
901	69495	7550
902	69566	7472
903	69633	7394
904	69708	7317
905	69796	7241
906	69868	7164
907	69937	7086
908	70010	7008
909	70093	6932
910	70164	6854
911	70236	6777
912	70306	6699
913	70396	6623
914	70479	6547
915	70547	6469
916	70615	6391
917	70693	6314
918	70765	6237
919	70831	6159
920	70901	6081
921	70980	6004
922	71048	5927
923	71121	5849
924	71195	5772
925	71273	5695
926	71349	5618
927	71417	5541
928	71493	5463
929	71565	5386
930	71632	5308
931	71713	5232
932	71786	5155
933	71862	5078
934	71935	5000
935	72004	4923
936	72079	4846
937	72149	4768
938	72218	4691
939	72289	4614
940	72367	4537
941	72440	4460
942	72513	4383
943	72593	4306
944	72669	4229
945	72741	4152
946	72809	4074
947	72885	3997
948	72969	3921
949	73043	3844
950	73113	3767
951	73187	3690
952	73263	3613
953	73329	3535
954	73407	3458
955	73495	3382
956	73567	3305
957	73638	3228
958	73710	3151
959	73780	3074
960	73856	2997
961	73928	2920
962	73996	2843
963	74067	2766
964	74132	2688
965	74201	2611
966	74267	2534
967	74341	2457
968	74412	2380
969	74487	2303
970	74551	2226
971	74616	2149
972	74685	2072
973	74751	1995
974	74816	1918
975	74888	1841
976	74954	1764
977	75019	1687
978	75088	1610
979	75153	1533
980	75225	1456
981	75295	1380
982	75362	1303
983	75434	1226
984	75511	1149
985	75579	1073
986	75647	996
987	75714	919
988	75780	842
989	75845	766
990	75943	689
991	76009	612
992	76080	536
993	76147	459
994	76221	383
995	76289	306
996	76356	229
997	76425	153
998	76496	76
999	76574	0
